external_data,Category1
moebel_179,Schlafen
moebel_897,Schlafen
moebel_919,Schlafen
moebel_920,Schlafen
moebel_194,Schlafen
moebel_902,Schlafen
moebel_899,Schlafen
moebel_901,Schlafen
moebel_898,Schlafen
moebel_196,Schlafen
moebel_646,Schlafen
moebel_899,Schlafen
moebel_645,Schlafen
moebel_647,Schlafen
moebel_51,Schlafen
moebel_141,Schlafen
moebel_909,Schlafen
moebel_910,Schlafen
moebel_911,Schlafen
moebel_912,Schlafen
moebel_9063,Schlafen
moebel_913,Schlafen
moebel_519,Schlafen
moebel_518,Schlafen
moebel_139,Schlafen
moebel_916,Schlafen
moebel_915,Schlafen
moebel_914,Schlafen
moebel_48,Schlafen
moebel_149,Schlafen
moebel_148,Schlafen
moebel_4065,Schlafen
moebel_4064,Schlafen
moebel_47,Schlafen
moebel_8999,Schlafen
moebel_168,Schlafen
moebel_9000,Schlafen
moebel_165,Schlafen
moebel_166,Schlafen
moebel_4574,Schlafen
moebel_163,Schlafen
moebel_648,Schlafen
moebel_167,Schlafen
moebel_164,Schlafen
moebel_169,Schlafen
moebel_755,Schlafen
moebel_50,Schlafen
moebel_142,Schlafen
moebel_143,Schlafen
moebel_681,Schlafen
